id_linha_educacional,ano,taxa_abandono_em,split,pred_hgb,pred_decision_tree,pred_knn,pred_modelo_final,cluster_kmeans,rank_risco_abandono_previsto,pred_modelo_final_allfit
18,2008,0.0,treino,4.790051382168324,0.78,0.0,0.8228641668556627,1,,0.1872061194907367
19,2008,1.0,treino,3.01488507735104,0.78,1.0,1.172736059851047,1,,1.1280535186573784
20,2008,18.5,treino,18.587069806548108,18.725,18.5,18.671899415621247,1,,18.581062635036197
21,2008,18.5,treino,18.587069806548108,18.725,18.5,18.671899415621247,1,,18.581062635036197
22,2008,23.4,treino,19.46266253019639,24.53333333333333,23.39999978931648,23.682360793040047,1,,23.508574590337034
23,2008,25.1,treino,19.46266253019639,24.53333333333333,25.1,24.083578861250135,1,,24.573472144230365
24,2008,25.1,treino,19.46266253019639,24.53333333333333,25.1,24.083578861250135,1,,24.573472144230365
27,2009,0.9,treino,1.0458028157737618,0.78,0.9,1.1310142170772612,1,,0.8965347749261358
28,2009,4.5,treino,2.870668369622903,1.8,4.5000002296520805,3.982486971342341,1,,4.198270991224124
29,2009,14.5,treino,16.402689570711498,13.9,14.5,15.106962048482416,1,,14.97892811681398
30,2009,18.4,treino,17.493580268619123,18.725,18.4,18.869011006235088,1,,18.674783269969463
31,2009,19.5,treino,17.493580268619123,18.725,19.5,19.057686025140836,1,,19.544668787907142
34,2010,18.1,treino,17.030542731142766,17.433333333333334,18.1,18.131560308627172,1,,18.163576671597394
35,2010,16.8,treino,17.068857545342247,15.800000000000002,16.8000000224969,17.02598582541542,1,,16.66281405076279
36,2010,13.3,treino,14.661442153809778,13.9,13.300000405323944,12.480586101413234,1,,13.107608837801363
37,2010,1.0,treino,0.8161117128514905,0.78,1.0,0.951419980584113,1,,0.7584646505178569
38,2010,18.1,treino,17.030542731142766,17.433333333333334,18.1,18.131560308627172,1,,18.163576671597394
40,2010,0.1,treino,3.7420604931253747,0.78,0.10000012818383638,0.5482132240495128,2,,0.47847482237888994
41,2011,16.1,treino,16.32752439626875,17.433333333333334,16.1,17.01847354573814,1,,16.279999507340946
42,2011,15.3,treino,16.035060842945114,15.800000000000002,15.3,15.325808135063593,1,,15.35348649699834
43,2011,11.9,treino,11.697555228867548,12.05,11.9,11.664344006974494,1,,11.733539244203163
44,2011,15.3,treino,16.035060842945114,15.800000000000002,15.3,15.325808135063593,1,,15.35348649699834
45,2011,1.0,treino,0.08400429738072088,0.78,1.0,0.5647186650276325,0,,0.9816203437297482
48,2011,0.1,treino,1.756407123152694,0.78,0.1,0.8627171152380688,2,,0.6217829362063068
49,2012,0.1,treino,0.4775942318143208,0.78,0.1,-0.3336079691518544,2,,-0.27730788377187204
50,2012,1.0,treino,-1.228527169037889,0.78,0.9999999902799056,1.0050074814740675,0,,1.2978910089318774
51,2012,8.7,treino,7.546776217235666,7.533333333333332,8.7,9.044833778581937,1,,8.69461190190895
52,2012,12.2,treino,15.01499292985014,12.05,12.200000279412833,12.777304232976968,1,,12.262552493705392
53,2012,11.6,treino,14.722529376526504,9.0,11.6,10.403616766782955,1,,11.072299567368653
55,2013,6.4,treino,11.198482488042472,9.0,6.4,7.083948695566454,0,,6.952505610344205
56,2013,6.1,treino,6.956475254891991,7.533333333333332,6.1,6.058646923779578,0,,5.880656389747875
57,2013,4.6,treino,1.8565438007982376,4.3,4.6,4.606353989805982,0,,4.738689791691014
58,2013,0.8,treino,-1.45821827196016,0.78,0.8,0.73100367116183,0,,0.8904622398526799
59,2013,0.2,treino,-0.7313115775934196,0.78,0.2,0.0937609522051982,2,,-0.14443500133284526
61,2014,4.0,treino,6.620290248960405,4.3,4.0,4.200747500202658,0,,4.049996396601447
62,2014,3.2,treino,3.2069107413112503,3.65,3.2,3.2939795286055378,0,,3.085793677520103
63,2014,0.9,treino,0.2294686021541971,0.78,0.9,0.8143878368541615,0,,0.7900086938191148
64,2014,1.9,treino,0.7136127532364855,0.78,1.9,1.4726089775254496,2,,1.9561079739549776
66,2014,4.1,treino,3.209019359180504,3.65,4.1,3.9998498470742585,0,,4.097540181755987
67,2015,1.9,treino,2.1796564468119515,1.8,1.9,1.3725031954565763,0,,1.882199273829402
68,2015,1.6,treino,1.0569218903630788,1.8,1.6,1.3787330927200998,0,,1.6269205027189457
69,2015,0.6,treino,0.45198085782941355,0.78,0.6000000475538771,0.5610846141221691,0,,0.5280092512139195
71,2015,0.0,treino,0.7410933885570963,0.78,0.0,0.15494282025675227,2,,-0.06274772525993505
72,2015,1.8,treino,1.9317178880848571,1.8,1.8,2.0395520330265446,0,,1.7876538651885439
73,2016,1.2,treino,1.6932554486235927,1.8,1.2,1.4976497472462658,0,,1.074134224010615
74,2016,1.2,treino,2.001389159734384,1.8,1.2,1.0838850164574556,0,,1.215627017344367
75,2016,1.1,treino,1.5048793483766794,1.8,1.1,1.187169290020813,0,,1.215041021770867
76,2016,2.9,treino,1.4397514212050981,0.78,2.8999999400569507,2.9313728959524434,2,,2.904771414157826
78,2016,0.6,treino,1.1506388904774156,0.78,0.600000027599085,0.931597823030564,0,,0.6906251721700909
79,2017,0.8,treino,1.3390149907243292,0.78,0.8000000763564209,0.838514562239939,0,,1.089803910313659
80,2017,0.7,treino,1.1506388904774156,0.78,0.7000000083594979,0.5753584871074057,0,,0.5407269568329203
81,2017,1.0,treino,1.1506388904774156,0.78,1.0,0.8090869888791856,0,,0.9804424862636087
83,2017,1.1,treino,1.3592400125339856,1.8,1.0999999872639308,0.9777257342538563,0,,1.068496482816667
84,2017,7.8,treino,8.155988559570423,7.533333333333332,7.8,7.6355343295996,2,,7.52715435327783
85,2018,0.9,teste,1.093205754001028,0.78,0.9762211515599737,0.3597218704205407,0,11.0,0.8481598419529168
86,2018,1.0,teste,1.1506388904774156,0.78,1.023595749028882,0.2793612209944164,0,13.0,0.9754492314949359
87,2018,1.1,teste,1.5048793483766794,1.8,1.0515757717893468,0.9508366010246105,0,6.0,1.001993923692024
88,2018,6.3,teste,8.155988559570423,7.533333333333332,5.042764377726076,7.724589078502603,2,1.0,6.7408812117947035
90,2018,0.7,teste,1.1506388904774156,0.78,0.7410268334561666,0.5753584871074057,0,9.0,0.5487743277157693
91,2019,1.3,teste,1.4366396167731428,0.78,1.0097838495220943,1.2230172667812749,0,5.0,1.4149221812762267
92,2019,0.6,teste,1.1506388904774156,0.78,0.7633957698057035,0.5753584871074057,0,9.0,0.7569282588002141
93,2019,1.6,teste,1.1506388904774156,0.78,1.0381929371941259,0.04974111515146532,0,14.0,1.5133205249576585
94,2019,1.3,teste,1.1506388904774156,0.78,1.0232281601189053,0.2793612209944164,0,13.0,1.2816175726744583
96,2019,7.7,teste,8.351020179925026,7.533333333333332,4.382815158395267,6.9846439741683755,2,3.0,7.476507950145364
103,2021,6.2,teste,6.791722996553758,7.533333333333332,2.685496550282414,4.175811530308207,0,4.0,6.19937275863462
104,2021,0.7,teste,1.093205754001028,0.78,1.039764152821349,0.7192906077603941,0,7.0,0.74121947572773
106,2021,1.0,teste,1.0049995546347223,0.78,1.0306057007687008,-0.214311296980862,0,16.0,1.0337470957197723
107,2021,0.4,teste,1.1506388904774156,0.78,0.7873745851420708,0.5753584871074057,0,9.0,0.3805790389054952
108,2021,0.9,teste,1.1506388904774156,0.78,0.944850113004573,0.6389299583342692,0,8.0,1.0814824823085467
109,2022,1.7,teste,1.1506388904774156,0.78,0.9479396836882885,0.6389299583342692,0,8.0,1.7250440715433077
110,2022,0.5,teste,1.1506388904774156,0.78,0.7918334720207587,0.32245845325611217,0,12.0,0.5479460895872661
111,2022,2.0,teste,1.0049995546347223,0.78,1.0330004602719824,-0.05700760691084352,0,15.0,1.965844432075477
112,2022,1.8,teste,1.2974631079583592,0.78,1.0430704955008163,0.5213778486014806,0,10.0,1.6125292452963116
113,2022,7.0,teste,8.351020179925026,7.533333333333332,3.0487893737040777,7.178354362837667,2,2.0,6.954787538909895
