fold,mae_treino,mae_validacao,rmse_treino,rmse_validacao,r2_treino,r2_validacao
1,8.344444444444443,6.025000000000001,9.362321055996507,8.104919630830539,0.0,-0.23328331179930184
2,2.661232852731414,3.137814882713999,3.32228771234821,3.58151996873923,0.8499612825602019,0.334756832166732
3,0.9783563990125126,2.7697218669243044,1.1965242830734004,3.4714282928934344,0.9790430348607394,-5.99003155029062
4,0.4557049409076954,0.6477047170560453,0.5816726886902868,0.969733405945366,0.9948033619713755,0.7822381255542794
