ano,id_municipio,id_municipio_nome,atu_ef,atu_em,had_ef,had_em,tdi_ef,tdi_em,taxa_aprovacao_ef,taxa_aprovacao_em,taxa_reprovacao_ef,taxa_reprovacao_em,taxa_abandono_ef,taxa_abandono_em
2018,2611606,Recife,29.0,11.9,5.3,4.9,9.0,33.6,97.9,64.1,2.1,29.6,0.0,6.3
2018,2611606,Recife,21.4,,4.7,,26.9,,90.4,,9.0,,0.6,
2009,2611606,Recife,25.6,,,,23.6,,88.0,,8.4,,3.6,
2009,2611606,Recife,25.6,,,,23.6,,88.0,,8.4,,3.6,
2009,2611606,Recife,19.8,35.7,,,6.5,9.5,95.8,93.2,3.8,5.9,0.4,0.9
2009,2611606,Recife,19.8,35.7,,,6.5,9.5,95.8,93.2,3.8,5.9,0.4,0.9
2009,2611606,Recife,32.3,38.4,,,11.0,68.3,93.3,83.2,6.7,12.3,0.0,4.5
2009,2611606,Recife,32.3,38.4,,,11.0,68.3,93.3,83.2,6.7,12.3,0.0,4.5
2009,2611606,Recife,25.7,36.2,,,26.0,48.3,82.8,73.1,11.5,12.4,5.7,14.5
2009,2611606,Recife,25.7,36.2,,,26.0,48.3,82.8,73.1,11.5,12.4,5.7,14.5
2009,2611606,Recife,29.5,36.4,,,34.5,59.4,77.1,67.4,14.9,14.2,8.0,18.4
2009,2611606,Recife,29.5,36.4,,,34.5,59.4,77.1,67.4,14.9,14.2,8.0,18.4
2009,2611606,Recife,34.7,36.2,,,45.3,58.7,66.0,66.1,21.4,14.4,12.6,19.5
2009,2611606,Recife,34.7,36.2,,,45.3,58.7,66.0,66.1,21.4,14.4,12.6,19.5
2009,2611606,Recife,5.4,,,,22.2,,70.4,,29.6,,0.0,
2009,2611606,Recife,5.4,,,,22.2,,70.4,,29.6,,0.0,
2009,2611606,Recife,5.4,,,,22.2,,70.4,,29.6,,0.0,
2018,2611606,Recife,34.7,38.1,4.5,6.9,29.4,26.3,94.1,94.0,5.2,5.1,0.7,0.9
2018,2611606,Recife,18.3,30.3,4.4,5.5,7.2,7.5,98.0,95.9,1.8,3.4,0.2,0.7
2018,2611606,Recife,21.8,33.5,4.5,6.5,19.3,22.2,94.4,93.3,5.1,5.7,0.5,1.0
2018,2611606,Recife,18.3,30.3,4.4,5.5,7.2,7.5,98.0,95.9,1.8,3.4,0.2,0.7
2018,2611606,Recife,25.2,34.5,4.6,6.8,27.8,26.6,91.8,92.5,7.5,6.4,0.7,1.1
2018,2611606,Recife,21.4,,4.7,,26.9,,90.4,,9.0,,0.6,
2010,2611606,Recife,10.3,,4.5,,29.3,,83.3,,11.1,,5.6,
